epoch,loss,bce,sep,val_balanced_accuracy,val_anomaly_recall,val_normal_fpr,val_auroc,val_event_top3_recall
1,0.7984837191505032,0.7984837191505032,0.0,0.96875,0.9375,0.0,0.984375,1.0
2,0.44189864884202296,0.4418926161870204,6.031479551123258e-05,0.96875,0.9375,0.0,0.98046875,1.0
3,0.2975006015341195,0.297472524833605,0.00028076418512663643,0.9375,0.9375,0.0625,0.98828125,1.0
4,0.27471423872023615,0.2746494681154332,0.0006476953067312871,0.875,0.9375,0.1875,0.93359375,1.0
5,0.21468243416532276,0.21464092764308207,0.00041505871607247947,0.9375,0.9375,0.0625,0.98828125,1.0
6,0.19010602569100088,0.190014454422981,0.0009156925700624453,0.9375,0.9375,0.0625,0.984375,1.0
7,0.14532466715086134,0.1451100250612456,0.002146417314961709,0.96875,0.9375,0.0,0.99609375,1.0
8,0.28840685494885604,0.288176741258899,0.0023011434188281946,0.96875,0.9375,0.0,0.94921875,1.0
9,0.2603028340658362,0.2601274824693109,0.0017535382722198337,0.96875,0.9375,0.0,1.0,1.0
10,0.1494686178141762,0.14867654145643167,0.007920766838702497,0.96875,0.9375,0.0,0.99609375,1.0
11,0.11445503601465713,0.11321152071672055,0.0124351532830225,0.96875,0.9375,0.0,0.99609375,1.0
12,0.09622956419907432,0.09470468647680343,0.015248765400448045,0.9375,0.9375,0.0625,0.98828125,1.0
13,0.07816360959004924,0.07695351089546261,0.01210098351527761,0.90625,0.9375,0.125,0.984375,1.0
14,0.05507634812314714,0.053675858176498954,0.014004906274743014,0.96875,0.9375,0.0,0.9921875,1.0
15,0.09490946081541869,0.09397452198078048,0.00934938872493543,0.84375,1.0,0.3125,0.984375,1.0
16,0.050809713224619885,0.04959361558296503,0.012160974450513616,0.96875,1.0,0.0625,1.0,1.0
17,0.07509967973423223,0.07396155361483407,0.011381269575884709,0.96875,0.9375,0.0,0.99609375,1.0
18,0.055112516114299376,0.05411055265686481,0.010019637025580123,0.90625,1.0,0.1875,0.99609375,1.0
19,0.07991241152403172,0.0795569973379061,0.0035541460237146676,0.9375,0.9375,0.0625,0.99609375,1.0
20,0.048518599481549816,0.04794288287224196,0.005757167897923114,0.9375,0.9375,0.0625,0.99609375,1.0
21,0.04321496939967172,0.04256446549377463,0.006505041492295327,0.96875,0.9375,0.0,0.99609375,1.0
22,0.039236525916233916,0.038619529348032845,0.006169957867530468,0.96875,0.9375,0.0,0.99609375,1.0
23,0.041070636661830716,0.04060422097433723,0.004664154122485877,0.9375,0.9375,0.0625,0.99609375,1.0
24,0.034782763398366404,0.03430784123984713,0.004749223705498384,0.9375,0.9375,0.0625,0.99609375,1.0
25,0.035799663594494074,0.03527398933831544,0.005256749336262578,0.96875,0.9375,0.0,0.99609375,1.0
26,0.03699270916746122,0.036590033084833086,0.004026756511180551,0.96875,0.9375,0.0,0.99609375,1.0
27,0.039616825764468004,0.039326767478068195,0.002900579459867538,0.9375,0.9375,0.0625,0.99609375,1.0
28,0.03584550423352243,0.035539551202323404,0.0030595324998656352,0.9375,0.9375,0.0625,0.99609375,1.0
29,0.03398481645772781,0.033609240927238514,0.0037557585881306576,0.9375,0.9375,0.0625,0.99609375,1.0
30,0.03806666014764875,0.03783332962698264,0.0023333046599975102,0.9375,0.9375,0.0625,0.99609375,1.0
31,0.03683289812985235,0.03659056046801795,0.0024233772476379583,0.9375,0.9375,0.0625,0.99609375,1.0
32,0.028757344054585725,0.028526465227978852,0.0023087854244765805,0.9375,0.9375,0.0625,0.99609375,1.0
33,0.041542432847932645,0.04127274557192634,0.0026968715327158506,0.9375,0.9375,0.0625,0.99609375,1.0
34,0.029904957435751608,0.02964427707459569,0.0026068098177983575,0.96875,0.9375,0.0,0.99609375,1.0
35,0.03263669570792349,0.03238110108239172,0.0025559511797671967,0.9375,0.9375,0.0625,0.99609375,1.0
36,0.03185258601333008,0.03162245221038746,0.0023013379903497186,0.9375,1.0,0.125,0.99609375,1.0
37,0.23731484291122548,0.23681765414124772,0.004971887837359486,0.9375,0.875,0.0,0.99609375,1.0
38,0.1129471877861729,0.11207069748714632,0.008764902517277668,0.96875,0.9375,0.0,0.99609375,1.0
39,0.03474862434269561,0.032924898116526984,0.018237261648674112,0.96875,0.9375,0.0,0.9921875,1.0
40,0.05233436071483249,0.05111556404744034,0.01218797024860457,0.96875,0.9375,0.0,0.99609375,1.0
41,0.030761638486113112,0.029687066070761506,0.010745722631161863,0.96875,0.9375,0.0,0.9921875,1.0
42,0.030170498607953736,0.029363136181699022,0.008073625193869734,0.96875,0.9375,0.0,1.0,1.0
43,0.03334911918052687,0.03261476916739704,0.0073434962708685365,0.96875,0.9375,0.0,1.0,1.0
44,0.03608540688450872,0.035710916682260466,0.003744895508109064,0.96875,0.9375,0.0,1.0,1.0
45,0.027796355270295423,0.027454360144398456,0.0034199520974856363,0.96875,0.9375,0.0,1.0,1.0
46,0.028895508758463227,0.028460772682414422,0.00434735647754392,0.96875,0.9375,0.0,0.99609375,1.0
47,0.027366146843772955,0.02697055586825379,0.00395591009141213,0.96875,0.9375,0.0,1.0,1.0
48,0.031337826911252566,0.030988029140809722,0.0034979791527001798,0.96875,0.9375,0.0,1.0,1.0
49,0.028923884154642587,0.02863064697386788,0.002932374473902156,0.96875,0.9375,0.0,1.0,1.0
50,0.028467307377271225,0.028154986297509836,0.0031232140987616525,0.96875,0.9375,0.0,1.0,1.0
51,0.026674499449489467,0.026345813302551167,0.003286864585731621,0.96875,0.9375,0.0,0.99609375,1.0
52,0.026230550235563928,0.02591827837587497,0.0031227163679025077,0.96875,0.9375,0.0,0.99609375,1.0
53,0.03752402614816776,0.03736241547337089,0.0016161056874088708,0.96875,0.9375,0.0,0.99609375,1.0
54,0.025979723241196462,0.025711412465043524,0.0026831065517869757,0.96875,0.9375,0.0,1.0,1.0
55,0.026848480498200034,0.026534289084179524,0.0031419114545117935,0.96875,0.9375,0.0,1.0,1.0
56,0.030596692314114212,0.03038216409557564,0.0021452787324095835,0.96875,0.9375,0.0,1.0,1.0
57,0.02903217077947228,0.02875445753301761,0.0027771272331840926,0.96875,0.9375,0.0,1.0,1.0
58,0.02971452481188271,0.029459780436033593,0.0025474393845721427,0.96875,0.9375,0.0,1.0,1.0
59,0.02602551209331666,0.025863183173025352,0.0016232975002523134,0.96875,0.9375,0.0,0.99609375,1.0
60,0.027300255292118037,0.027091259422949744,0.0020899597907087187,0.96875,0.9375,0.0,1.0,1.0
61,0.028468153260158165,0.02813663968565659,0.00331513947366421,0.96875,0.9375,0.0,1.0,1.0
62,0.02783029835685026,0.027676532618128337,0.0015376540909560357,0.96875,0.9375,0.0,1.0,1.0
63,0.02577334013482608,0.02543310562093332,0.0034023469714512984,0.96875,0.9375,0.0,0.99609375,1.0
64,0.024382414282429835,0.024192586196000343,0.0018982807250849747,0.96875,0.9375,0.0,1.0,1.0
65,0.026042621231465307,0.025722840832223974,0.0031978041991930117,0.96875,0.9375,0.0,0.99609375,1.0
