epoch,loss,bce,sep,val_balanced_accuracy,val_anomaly_recall,val_normal_fpr,val_auroc,val_event_top3_recall
1,0.7637533791415341,0.7637533791415341,0.0,0.5,1.0,1.0,0.91015625,1.0
2,0.7070809627746368,0.7070809627746368,0.0,0.5,0.0,0.0,0.8984375,1.0
3,0.6340121189197461,0.6340121189197461,0.0,0.59375,1.0,0.8125,0.94140625,1.0
4,0.5794599789839524,0.5794599789839524,0.0,0.90625,0.9375,0.125,0.94140625,1.0
5,0.5093572877503775,0.5093572877503775,0.0,0.9375,0.9375,0.0625,0.9453125,1.0
6,0.4370052255950608,0.4370052255950608,0.0,0.9375,0.9375,0.0625,0.94921875,1.0
7,0.36584053006205525,0.36584053006205525,0.0,0.84375,0.75,0.0625,0.94921875,1.0
8,0.3224879847123073,0.32248696059613796,1.0289839986659638e-05,0.9375,0.9375,0.0625,0.9453125,1.0
9,0.2728432484648444,0.27283391908749,9.33402993755376e-05,0.84375,0.75,0.0625,0.94921875,1.0
10,0.2364533918720859,0.2364287297208826,0.0002466157521202613,0.875,0.9375,0.1875,0.953125,1.0
11,0.23669474363535434,0.23665470697663046,0.00040036404563986754,0.90625,0.9375,0.125,0.9609375,1.0
12,0.2095843976611024,0.20951709276312716,0.00067303643783333,0.9375,0.9375,0.0625,0.9609375,1.0
13,0.15904420718446477,0.1589441740221077,0.0010003477711087237,0.8125,0.9375,0.3125,0.94921875,1.0
14,0.23494133028898623,0.23480230125670248,0.0013902543456182925,0.9375,0.9375,0.0625,0.953125,1.0
15,0.15470084855398097,0.15450431672217962,0.0019653093971807017,0.90625,0.9375,0.125,0.953125,1.0
16,0.1171881243899152,0.11693639136277713,0.002517328244288797,0.875,0.9375,0.1875,0.953125,1.0
17,0.08979191573766562,0.08947428498234782,0.003176289337029407,0.875,0.9375,0.1875,0.953125,1.0
18,0.10513728143243523,0.10475940512610482,0.0037787551438058175,0.875,0.9375,0.1875,0.95703125,1.0
19,0.09254720062017441,0.09211465210972966,0.004325464393917497,0.9375,0.9375,0.0625,0.95703125,1.0
20,0.08844919143231599,0.08797739508685533,0.004717990498781413,0.84375,0.9375,0.25,0.95703125,1.0
21,0.09138856528626456,0.09089323714167089,0.004953285382891243,0.84375,0.8125,0.125,0.93359375,1.0
22,0.13771843618446297,0.13719841608634362,0.005200162015438496,0.875,0.9375,0.1875,0.953125,1.0
23,0.13533960459949254,0.13489215899180698,0.004474482160400261,0.90625,0.9375,0.125,0.953125,1.0
24,0.12432252277027477,0.12395198789093044,0.0037053718648434103,0.84375,0.75,0.0625,0.92578125,1.0
25,0.16602713403038002,0.16572207153507776,0.0030505969644999587,0.90625,0.9375,0.125,0.953125,1.0
26,0.08382311400833663,0.08358941492917654,0.0023370023045063645,0.8125,0.9375,0.3125,0.95703125,1.0
27,0.06757751998159435,0.06737459107087208,0.0020292839882048693,0.9375,0.9375,0.0625,0.95703125,1.0
28,0.0921885260752031,0.09198966184696117,0.001988612424738549,0.9375,0.9375,0.0625,0.9609375,1.0
29,0.08326687744551606,0.08307406347948354,0.001928107395370888,0.875,0.9375,0.1875,0.95703125,1.0
30,0.05358782357217132,0.05340073385334515,0.0018708973755030992,0.78125,0.9375,0.375,0.95703125,1.0
31,0.059704923403117206,0.059503464966074573,0.002014600303857685,0.90625,0.9375,0.125,0.9609375,1.0
32,0.04093168649848525,0.0407024332276591,0.002292523964900862,0.9375,0.9375,0.0625,0.953125,1.0
33,0.0758648212295729,0.07560403144859767,0.0026078956377516677,0.9375,0.9375,0.0625,0.953125,1.0
34,0.02929457066046608,0.02901942861246896,0.0027514190325135745,0.84375,0.9375,0.25,0.96484375,1.0
