epoch,loss,bce,sep,val_balanced_accuracy,val_anomaly_recall,val_normal_fpr,val_auroc,val_event_top3_recall
1,1.0695096450252133,1.0695096450252133,0.0,0.5,0.0,0.0,0.94921875,1.0
2,0.6617010981886537,0.6617010981886537,0.0,0.59375,1.0,0.8125,0.953125,1.0
3,0.6077292886647311,0.6077292886647311,0.0,0.9375,0.9375,0.0625,0.953125,1.0
4,0.5502805784865693,0.5502805784865693,0.0,0.84375,0.75,0.0625,0.94921875,1.0
5,0.45609596329969126,0.45609596329969126,0.0,0.71875,1.0,0.5625,0.94921875,1.0
6,0.48475656601098865,0.48475656601098865,0.0,0.875,0.8125,0.0625,0.94921875,1.0
7,0.4154930325238021,0.4154930325238021,0.0,0.8125,0.6875,0.0625,0.9453125,1.0
8,0.3445420639289843,0.3445420639289843,0.0,0.8125,0.9375,0.3125,0.94140625,1.0
9,0.34881501264505455,0.34881501264505455,0.0,0.9375,0.9375,0.0625,0.94140625,1.0
10,0.2718241152229843,0.2718241152229843,0.0,0.90625,0.875,0.0625,0.94140625,1.0
11,0.28284876454960217,0.2828487324547934,3.07518265882126e-07,0.9375,0.9375,0.0625,0.93359375,1.0
12,0.23278712684457953,0.23278635698598582,7.686356082660393e-06,0.9375,0.9375,0.0625,0.94921875,1.0
13,0.21354821762004933,0.21354555395933297,2.6670294363821784e-05,0.9375,0.9375,0.0625,0.953125,1.0
14,0.21056311973533431,0.21055753992779272,5.5800868976548624e-05,0.9375,0.9375,0.0625,0.95703125,1.0
15,0.1613753230630101,0.1613649183011555,0.00010403288885303024,0.9375,0.9375,0.0625,0.95703125,1.0
16,0.17656156233140638,0.17654237468967904,0.0001918745883113633,0.9375,0.9375,0.0625,0.953125,1.0
17,0.15557476982370122,0.15554410302555643,0.00030663961254001653,0.90625,0.9375,0.125,0.953125,1.0
18,0.0901384421630756,0.09009295162725282,0.00045490088437885774,0.90625,0.8125,0.0,0.93359375,1.0
19,0.15399048951539127,0.15392739560220625,0.0006309557019023004,0.875,0.9375,0.1875,0.9453125,1.0
20,0.12556807603035774,0.12548943353699638,0.0007864309562747921,0.78125,0.9375,0.375,0.953125,1.0
21,0.08712192310893035,0.0870255315741459,0.0009639130667555373,0.9375,0.875,0.0,0.9375,1.0
22,0.15530164362667323,0.1551850975810231,0.001165464689785784,0.84375,0.9375,0.25,0.94921875,1.0
23,0.1266871911662442,0.12656132605942813,0.0012586561163522667,0.78125,0.9375,0.375,0.9453125,1.0
24,0.10725229471869818,0.10711597330816142,0.0013632389262540044,0.875,0.8125,0.0625,0.9375,1.0
25,0.18277512522010536,0.18262156073030059,0.0015355976782022761,0.90625,0.875,0.0625,0.9453125,1.0
26,0.10039487537778133,0.1002573697938473,0.0013750846036937792,0.84375,0.9375,0.25,0.95703125,1.0
27,0.11239128320158778,0.11227853184604979,0.0011275003914936231,0.84375,0.9375,0.25,0.95703125,1.0
28,0.06894941232004366,0.06884297874424007,0.0010643442620529788,0.9375,0.9375,0.0625,0.953125,1.0
29,0.04988896867612025,0.049781524426453595,0.0010744447924092516,0.9375,0.9375,0.0625,0.95703125,1.0
30,0.06269930846259728,0.0625881430126362,0.001111649508405659,0.875,0.9375,0.1875,0.95703125,1.0
31,0.07778105983784149,0.07765619758959416,0.0012486070440105208,0.9375,0.9375,0.0625,0.9453125,1.0
32,0.0438091268281003,0.04366027209517005,0.001488544961919526,0.9375,0.9375,0.0625,0.94921875,1.0
33,0.056979519295525714,0.056801197750793474,0.0017832176730531704,0.9375,0.9375,0.0625,0.9453125,1.0
34,0.03978942735837056,0.03958057737225419,0.002088506613252359,0.875,0.9375,0.1875,0.9453125,1.0
35,0.036295870739080895,0.03605575311173509,0.002401164793116334,0.875,0.9375,0.1875,0.94921875,1.0
36,0.045771113609882084,0.04549892472715436,0.0027218825147988703,0.9375,0.9375,0.0625,0.94140625,1.0
37,0.0374708421385059,0.03716249993214241,0.0030834231431224753,0.9375,0.9375,0.0625,0.94921875,1.0
